group,famale_users,male_users
facebook,376.2,283.8
myspace,121.6,68.4
flickr,66,54
twitter,62.7,47.3
hi5.com,32.4,27.6
linked in,27.5,27.5
digg,12.24,21.76
scribd,14.88,16.12
deviant ART,14,14
ning,16.52,11.48
tagged,16.64,9.36
yelp,11.97,9.03
bebo,12.24,5.76
classmates.com,10.24,5.76
buzznet,6.4,3.6
.docstoc,4.779,3.321
plaxo,3.876,2.924
friendfeed,2.585,2.115
mixx,1.68,1.82
sodahead,1.89,1.61
Gaia Online,2.135,1.365
blackplanet,1.36,0.64
qik,0.24,0.26
del.icio.us,0.26,0.24
upcoming,0,0
youtube,0,0